Nationality,Count
United States,5181
Germany,965
United Kingdom,860
France,847
Italy,536
Japan,507
Switzerland,297
Netherlands,274
Russia,262
Austria,239
Canada,189
Brazil,167
N/A,161
Spain,157
Argentina,142
Mexico,135
Poland,131
Sweden,128
Denmark,121
China,101
Belgium,96
Czech Republic,78
Israel,75
Chile,70
South Africa,67
Cuba,64
Venezuela,62
Finland,62
Australia,55
Colombia,54
Hungary,53
Norway,49
India,39
Peru,39
Croatia,34
South Korea,31
Ireland,24
Uruguay,23
Turkey,20
Scotland,20
Romania,19
Haiti,17
Slovenia,17
Serbia,16
New Zealand,16
Ukraine,13
Iceland,12
Egypt,11
Iran,11
Greece,11
Portugal,10
,10
Lebanon,9
Slovakia,8
Puerto Rico,7
Guatemala,7
Bosnia and Herzegovina,6
Morocco,6
Georgia,6
Democratic Republic of the Congo,6
Nigeria,6
Vietnam,5
Taiwan,5
Bulgaria,5
Zimbabwe,5
Czechoslovakia,5
North Macedonia,4
Ecuador,4
Pakistan,4
Palestine,4
Bolivia,3
Estonia,3
Algeria,3
Lithuania,3
Albania,3
Luxembourg,3
Philippines,3
Wales,3
Latvia,3
Canada,3
Mali,3
Ghana,3
Ethiopia,2
Nicaragua,2
Namibia,2
Iraq,2
Tunisia,2
Senegal,2
Sudan,2
United Arab Emirates,2
Kyrgyzstan,2
Singapore,2
Thailand,2
Costa Rica,2
Cameroon,2
Azerbaijan,2
El Salvador,2
Malaysia,2
Panama,2
Paraguay,2
Côte d'Ivoire,1
Uganda,1
Cambodia,1
Cyprus,1
Sierra Leone,1
Coptic Christian,1
Yugoslavia,1
Mozambique,1
Iran,1
The Bahamas,1
Bangladesh,1
Sahrawi Arab Democratic Republic,1
Burkina Faso,1
Catalonia,1
Afghanistan,1
Tanzania,1
Kenya,1
Benin,1
Kuwait,1
